69	43	A
486	28	A
250	15	Z
326	52	A
463	62	A
387	51	A
98	50	A
369	59	A
312	51	A
442	55	A
88	12	Z
332	19	A
449	13	A
498	64	Z
150	20	A
246	57	A
500	17	Z
251	56	A
274	20	A
466	32	Z
155	65	Z
396	23	Z
115	55	A
251	51	Z
182	23	Z
63	58	A
439	56	A
70	50	Z
323	35	Z
391	39	Z
371	21	A
349	10	Z
327	38	Z
173	28	A
311	34	A
345	63	A
66	69	Z
183	62	Z
459	66	Z
469	39	A
151	55	Z
112	12	A
498	38	A
238	52	Z
459	19	A
121	67	A
111	48	Z
311	55	A
86	26	Z
470	58	A
465	62	A
148	60	Z
123	13	Z
191	33	A
204	14	Z
432	57	A
121	39	A
96	46	Z
225	17	A
194	63	Z
202	49	A
59	55	Z
482	34	A
157	69	Z
277	69	Z
154	51	A
450	26	Z
470	33	A
365	51	A
77	44	Z
383	52	Z
186	38	Z
233	20	A
68	27	Z
387	64	A
140	67	Z
264	62	A
117	46	Z
223	13	Z
179	21	Z
193	62	Z
145	15	A
255	66	A
52	70	A
156	26	Z
269	11	A
225	38	A
139	29	Z
326	14	A
133	24	A
310	67	Z
156	42	Z
448	25	A
231	61	A
310	14	A
223	10	Z
277	60	A
52	63	Z
401	20	Z
316	32	A
385	25	A
338	63	A
475	29	A
306	26	Z
56	36	Z
238	18	A
433	25	Z
490	55	Z
415	36	Z
63	28	Z
378	11	A
120	64	A
149	17	Z
194	11	A
150	33	A
164	21	Z
190	26	A
212	32	Z
273	25	A
245	43	Z
415	52	Z
59	53	Z
280	47	A
68	51	A
287	54	A
88	35	Z
206	50	Z
196	42	A
341	67	Z
345	26	A
204	65	Z
411	31	Z
479	22	Z
245	11	A
399	26	A
254	18	A
281	44	A
246	46	A
117	12	Z
312	58	Z
183	31	A
274	52	A
451	37	Z
156	57	A
463	11	A
434	40	A
406	46	A
338	68	A
55	20	A
461	52	A
320	16	A
125	34	A
416	58	A
454	63	A
298	46	A
432	61	A
169	32	Z
424	36	A
227	47	Z
382	51	Z
485	38	Z
398	54	Z
119	47	A
263	16	Z
172	48	A
304	43	Z
326	48	A
389	63	Z
493	19	A
454	66	A
227	50	A
356	26	Z
353	62	Z
50	15	Z
447	29	Z
278	18	Z
95	12	Z
395	69	A
124	15	Z
385	43	Z
231	33	A
91	69	A
465	44	Z
205	67	Z
171	67	Z
218	18	A
296	57	Z
190	63	A
447	27	Z
446	40	Z
497	37	A
301	23	A
497	32	Z
340	36	Z
56	39	A
346	50	A
61	21	A
102	49	A
373	28	A
347	11	Z
200	22	Z
426	49	A
120	52	A
137	39	A
237	53	Z
400	67	A
408	53	A
76	12	Z
139	68	Z
159	16	Z
272	31	A
479	24	A
410	53	Z
403	33	Z
404	32	A
102	14	Z
70	44	Z
481	51	A
123	67	A
103	11	A
400	35	A
184	31	Z
385	69	A
343	36	Z
281	49	Z
464	35	Z
119	37	A
62	12	Z
438	52	A
451	16	Z
216	28	A
73	59	Z
108	52	Z
366	46	Z
493	49	Z
369	18	A
382	11	A
283	13	A
225	14	A
67	41	A
207	12	A
500	21	Z
173	29	A
159	51	Z
276	12	Z
352	70	A
195	47	A
432	52	A
314	64	A
118	48	Z
165	22	Z
72	40	A
363	23	A
198	60	Z
160	42	Z
335	25	A
384	26	A
284	70	Z
377	19	A
236	21	A
337	35	Z
117	11	A
164	29	A
213	21	Z
321	28	A
338	30	A
435	47	Z
331	45	Z
190	43	A
188	33	Z
231	25	A
312	40	Z
265	36	A
280	40	Z
272	43	Z
190	41	A
422	42	A
438	43	A
197	21	Z
244	39	Z
373	30	Z
289	64	Z
98	16	Z
294	55	A
259	51	Z
184	10	A
107	12	A
428	34	Z
500	36	A
174	30	Z
154	22	A
393	15	A
417	55	A
354	11	Z
123	31	Z
130	53	Z
254	23	Z
155	36	A
398	27	A
394	55	A
149	29	Z
320	16	Z
467	27	A
497	45	Z
324	12	Z
233	69	Z
179	68	A
281	31	A
157	47	Z
135	30	A
266	10	A
460	34	Z
120	68	Z
288	10	A
384	13	Z
233	16	A
148	32	A
294	25	Z
434	60	Z
178	56	A
269	40	Z
263	53	A
65	41	A
176	59	A
465	59	Z
